HDI_rank,HDI_category,Country,1975,1980,1985,1990,1995,2000,2005
1,HIGH,Iceland,0.868,0.890,0.899,0.918,0.923,0.947,0.968
2,HIGH,Norway,0.870,0.889,0.900,0.913,0.938,0.958,0.968
3,HIGH,Australia,0.851,0.868,0.880,0.894,0.934,0.949,0.9620000000000001
4,HIGH,Canada,0.873,0.888,0.911,0.931,0.936,0.946,0.961
5,HIGH,Ireland,0.823,0.835,0.851,0.875,0.898,0.931,0.9590000000000001
6,HIGH,Sweden,0.872,0.882,0.893,0.904,0.935,0.952,0.956
7,HIGH,Switzerland,0.883,0.895,0.902,0.915,0.926,0.946,0.955
8,HIGH,Japan,0.861,0.886,0.899,0.916,0.929,0.941,0.953
9,HIGH,Netherlands,0.873,0.885,0.899,0.914,0.934,0.947,0.953
10,HIGH,France,0.856,0.872,0.884,0.907,0.925,0.938,0.9520000000000001
11,HIGH,Finland,0.846,0.866,0.884,0.906,0.918,0.940,0.9520000000000001
12,HIGH,United States,0.870,0.890,0.904,0.919,0.931,0.942,0.951
13,HIGH,Spain,0.846,0.863,0.877,0.896,0.914,0.932,0.9490000000000001
14,HIGH,Denmark,0.875,0.883,0.890,0.898,0.916,0.935,0.9490000000000001
15,HIGH,Austria,0.848,0.862,0.876,0.899,0.918,0.938,0.948
16,HIGH,United Kingdom,0.853,0.860,0.870,0.890,0.929,0.931,0.946
17,HIGH,Belgium,0.852,0.869,0.883,0.903,0.931,0.943,0.946
18,HIGH,Luxembourg,0.836,0.850,0.863,0.890,0.913,0.929,0.9440000000000001
19,HIGH,New Zealand,0.854,0.860,0.871,0.880,0.908,0.927,0.943
20,HIGH,Italy,0.845,0.861,0.869,0.892,0.910,0.926,0.941
21,HIGH,Hong Kong China (SAR),0.763,0.803,0.830,0.865,0.886,0.919,0.937
22,HIGH,Germany,,0.863,0.871,0.890,0.913,0.928,0.935
23,HIGH,Israel,0.805,0.830,0.850,0.869,0.891,0.918,0.932
24,HIGH,Greece,0.841,0.856,0.869,0.877,0.882,0.897,0.9259999999999999
25,HIGH,Singapore,0.729,0.762,0.789,0.827,0.865,,0.922
26,HIGH,Korea (Republic of),0.713,0.747,0.785,0.825,0.861,0.892,0.9209999999999999
27,HIGH,Slovenia,,,,0.851,0.857,0.891,0.917
28,HIGH,Cyprus,,0.809,0.828,0.851,0.870,0.893,0.903
29,HIGH,Portugal,0.793,0.807,0.829,0.855,0.885,0.904,0.897
30,HIGH,Brunei Darussalam,,,,,,,0.894
31,HIGH,Barbados,,,,,,,0.892
32,HIGH,Czech Republic,,,,0.845,0.854,0.866,0.8909999999999999
33,HIGH,Kuwait,0.771,0.789,0.794,,0.826,0.855,0.8909999999999999
34,HIGH,Malta,0.738,0.772,0.799,0.833,0.857,0.877,0.878
35,HIGH,Qatar,,,,,,,0.875
36,HIGH,Hungary,0.786,0.801,0.813,0.813,0.817,0.845,0.8740000000000001
37,HIGH,Poland,,,,0.806,0.822,0.852,0.87
38,HIGH,Argentina,0.790,0.804,0.811,0.813,0.836,0.862,0.8690000000000001
39,HIGH,United Arab Emirates,0.734,0.769,0.790,0.816,0.825,0.837,0.868
40,HIGH,Chile,0.708,0.743,0.761,0.788,0.819,0.845,0.867
41,HIGH,Bahrain,,0.747,0.783,0.808,0.834,0.846,0.866
42,HIGH,Slovakia,,,,,,,0.863
43,HIGH,Lithuania,,,,0.827,0.791,0.831,0.862
44,HIGH,Estonia,,0.811,0.820,0.813,0.792,0.829,0.86
45,HIGH,Latvia,,0.797,0.810,0.804,0.771,0.817,0.855
46,HIGH,Uruguay,0.762,0.782,0.787,0.806,0.821,0.842,0.852
47,HIGH,Croatia,,,,0.812,0.805,0.828,0.85
48,HIGH,Costa Rica,0.746,0.772,0.774,0.794,0.814,0.830,0.846
49,HIGH,Bahamas,,0.809,0.822,0.831,0.820,0.825,0.845
50,HIGH,Seychelles,,,,,,,0.843
51,HIGH,Cuba,,,,,,,0.838
52,HIGH,Mexico,0.694,0.739,0.758,0.768,0.786,0.814,0.8290000000000001
53,HIGH,Bulgaria,,0.771,0.792,0.794,0.785,0.800,0.8240000000000001
54,HIGH,Saint Kitts and Nevis,,,,,,,0.821
55,HIGH,Tonga,,,,,,,0.8190000000000001
56,HIGH,Libyan Arab Jamahiriya,,,,,,,0.818
57,HIGH,Antigua and Barbuda,,,,,,,0.815
58,HIGH,Oman,0.487,0.547,0.641,0.697,0.741,0.779,0.8140000000000001
59,HIGH,Trinidad and Tobago,0.756,0.784,0.782,0.784,0.785,0.796,0.8140000000000001
60,HIGH,Romania,,0.786,0.792,0.777,0.772,0.780,0.813
61,HIGH,Saudi Arabia,0.611,0.666,0.684,0.717,0.748,0.788,0.812
